State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK,1885,1347,1122,59.52%,1410,475,0,194,722,1141,22,14,151,1410,973,783,55.53%,332,39,129,497,898,15,0,71,475,374,339,71.37%,65,225,243,7,14,80,0,0,0,.,0,0,0,0,0,0,259,231,231,89.19%,52,171,88,0,41,22,963,963,478,49.64%,106,318,645,0,453,10,459,92,92,92,100.00%,4,8,84,0,0,0
AL,2913,2291,1659,56.95%,1992,887,34,411,1134,1736,43,185,117,1992,1607,1137,57.08%,44,67,238,697,1268,27,126,68,887,650,488,55.02%,173,437,434,16,59,49,34,34,34,100.00%,0,0,34,0,0,0,477,477,477,100.00%,88,273,204,0,77,1,3274,3274,1823,55.68%,311,822,2452,0,1501,4,943,40,40,32,80.00%,0,0,40,0,0,0
AR,1686,1193,680,40.33%,1330,356,0,181,617,1069,0,93,41,1330,887,439,33.01%,0,20,138,500,830,0,46,18,356,306,241,67.70%,43,117,239,0,47,23,0,0,0,.,0,0,0,0,0,0,490,490,490,100.00%,74,230,260,0,87,0,1040,1040,632,60.77%,124,337,703,0,408,0,22,0,0,0,.,0,0,0,0,0,0
AZ,6079,4943,4352,71.59%,3632,2370,77,821,2876,3170,33,562,206,3632,2801,2611,71.89%,132,152,460,1666,1941,25,85,60,2370,2065,1664,70.21%,361,1210,1152,8,415,146,77,77,77,100.00%,0,0,77,0,62,0,3058,3014,3016,98.63%,561,2098,960,0,463,48,8703,8703,7720,88.71%,702,2417,6277,9,2467,82,1903,346,346,346,100.00%,75,294,52,0,33,10
CA,53265,48649,35666,66.96%,38241,14760,264,7344,23569,29515,181,3043,2764,38241,35499,26196,68.50%,3963,559,5182,17034,21038,169,906,984,14760,12886,9228,62.52%,2162,6535,8213,12,1939,1780,264,264,242,91.67%,0,0,264,0,198,0,22611,21349,20789,91.94%,5386,15895,6714,2,2130,701,65872,65585,46205,70.14%,6517,20342,45515,15,21385,1176,23391,8707,8618,6185,71.03%,849,2684,6011,12,464,171
CO,8274,7693,4460,53.90%,5073,3138,63,1131,3108,5137,29,359,183,5073,4547,3118,61.46%,531,265,589,1257,3797,19,24,96,3138,3108,1304,41.56%,542,1851,1277,10,297,87,63,38,38,60.32%,0,0,63,0,38,0,1834,1747,1668,90.95%,516,1546,288,0,151,69,5132,5132,3506,68.32%,448,950,4119,63,2223,185,3633,1516,1516,594,39.18%,183,507,1007,2,29,32
CT,2600,2260,2176,83.69%,2062,527,11,369,1141,1436,23,178,142,2062,1796,1754,85.06%,449,139,288,937,1102,23,19,28,527,453,411,77.99%,81,204,323,0,148,114,11,11,11,100.00%,0,0,11,0,11,0,1360,1231,1231,90.51%,238,705,655,0,258,221,7268,7189,5832,80.24%,795,2188,5080,0,1204,26,5278,0,0,0,.,0,0,0,0,0,0
DC,6687,6344,5959,89.11%,5110,1577,0,1053,3252,3416,19,170,604,5110,5040,4849,94.89%,783,0,801,2598,2493,19,0,111,1577,1304,1110,70.39%,252,654,923,0,170,493,0,0,0,.,0,0,0,0,0,0,5972,5953,5953,99.68%,1836,5742,230,0,70,23,9958,9863,8535,85.71%,1682,5100,4858,0,1589,136,9657,5309,5258,3983,75.02%,1371,4178,1131,0,0,0
DE,1026,955,536,52.24%,644,382,0,192,446,578,2,51,12,644,573,311,48.29%,0,309,88,236,406,2,10,2,382,382,225,58.90%,104,210,172,0,41,10,0,0,0,.,0,0,0,0,0,0,169,169,169,100.00%,35,118,51,0,25,0,670,670,670,100.00%,64,228,442,0,0,0,666,19,19,19,100.00%,0,0,19,0,0,0
FL,17793,15246,13295,74.72%,11462,6113,218,2057,7375,10074,344,1318,843,11462,9383,8697,75.88%,183,596,1335,4975,6192,295,257,487,6113,5645,4380,71.65%,722,2400,3664,49,917,356,218,218,218,100.00%,0,0,218,0,144,0,6630,6425,6361,95.94%,1711,5013,1617,0,869,340,17841,17841,14276,80.02%,2217,5845,11996,0,8482,172,11345,1814,1814,1672,92.17%,294,785,1029,0,117,15
